"","Countries","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"123","Nigeria","15","16","16","35","39","47","61","68","81","68","76","84","92","102","107","98","79"
"124","Niue","318","1,445","467","649","837","823","3,500","1,224","1,543","1,544","1,288","2,089","1,103","1,119","1,228","872","1,010"
"125","Norway","2,949","3,099","3,890","4,633","5,097","5,585","5,893","6,896","7,768","7,302","7,860","8,900","8,970","9,241","9,118","7,566","7,478"
"126","Oman","264","261","274","288","301","320","333","383","444","475","529","535","564","593","722","706","648"
"127","Pakistan","16","14","16","15","16","21","26","30","27","25","27","28","28","32","37","38","40"
"128","Palau","676","639","668","705","889","868","913","955","925","932","1,038","1,014","1,183","1,292","1,402","1,471","1,674"
"129","Panama","286","281","292","288","326","305","350","427","490","531","580","619","705","790","884","930","1,041"
"130","Papua New Guinea","19","20","21","22","26","28","31","35","37","39","42","57","76","84","107","73","55"
"131","Paraguay","89","78","54","58","70","75","96","124","168","161","201","268","294","312","359","321","327"
"132","Peru","90","98","106","112","117","124","142","159","189","207","239","265","303","319","332","314","316"
"133","Philippines","33","28","27","32","34","47","55","66","77","79","92","99","113","123","117","124","129"
"134","Poland","238","283","316","339","392","466","524","661","893","760","809","866","815","878","896","797","809"
"135","Portugal","967","989","1,105","1,406","1,679","1,773","1,813","2,067","2,322","2,279","2,213","2,208","1,919","1,959","1,987","1,725","1,801"
"136","Qatar","602","658","737","1,206","1,286","1,323","1,328","1,322","1,328","1,321","1,258","1,375","1,548","1,833","2,104","2,056","1,827"
"137","Republic of Korea","474","523","558","658","732","902","1,084","1,241","1,162","1,117","1,378","1,523","1,576","1,712","1,910","1,927","2,044"
"138","Republic of Moldova","21","25","34","38","65","79","100","135","186","209","198","215","224","232","231","186","171"
"139","Romania","70","79","97","144","191","255","291","415","521","449","472","427","402","495","503","442","476"
"140","Russian Federation","95","118","141","165","209","272","353","462","610","517","567","685","760","811","742","502","469"
"141","Rwanda","10","9","8","19","22","27","32","39","45","49","53","52","57","52","49","46","48"
